code,lat,lon,elv
ASTR,   38.56000,   48.79100,     148.0
BRDA,   40.26300,   47.17900,     103.0
GANJ,   40.64600,   46.32200,     574.0
GLBA,   39.24200,   48.39300,     147.0
GNI,    40.14950,   44.74139,    1583.0
LKRN,   38.71000,   48.77900,      65.0
LRK,    38.64300,   48.34000,    1592.0
MAKU,   39.35480,   44.68330,    1730.0
NAX,    39.17400,   45.49500,     927.0
ORD,    38.92800,   45.99400,     945.0
SAAT,   39.86100,   48.42300,      13.0
VANB,   38.59500,   43.38900,    1227.0
ZNJK,   36.67000,   48.68500,    2200.0
ZRD,    40.27900,   47.68400,      30.0